,,,,,,,,,
247,China National Building Material Group,China,"208,857",196,"$56,514",-12.3%,$629 ,4.3%,"$101,920"
248,American International Group,U.S.,"26,200",255,"$56,437",8.4%,"$10,276 ",9.5%,"$526,634"
249,Talanx,Germany,"23,669",244,"$56,029",4.9%,"$1,233 ",3.1%,"$206,073"
250,Sberbank,Russia,"210,661",270,"$55,877",11.1%,"$3,959 ",-76.7%,"$564,401"
251,Banco do Brasil,Brazil,"85,953",465,"$55,870",82.6%,"$5,353 ",57.4%,"$379,820"
252,China Electronics Technology Group,China,"235,912",233,"$55,848",0.7%,"$2,665 ",23.9%,"$86,146"
253,American Express,U.S.,"77,300",320,"$55,625",27.4%,"$7,514 ",-6.8%,"$228,354"
254,Rio Tinto Group,Britain,"53,726",201,"$55,554",-12.5%,"$12,420 ",-41.1%,"$96,744"
255,Publix Super Markets,U.S.,"242,000",283,"$54,942",13.5%,"$2,918 ",-33.9%,"$31,047"
256,China Energy Engineering Group,China,"116,263",269,"$54,890",9.0%,$545 ,-9.3%,"$98,548"
257,Tsingshan Holding Group,China,"100,982",238,"$54,711",0.3%,"$1,457 ",-38.9%,"$20,139"
258,Korea Electric Power,South Korea,"49,237",249,"$54,650",4.4%,"-$18,954 ",-,"$186,655"
259,Koç Holding,Turkey,"114,677",357,"$54,467",39.6%,"$4,216 ",146.6%,"$84,577"
260,Shanghai Pudong Development Bank,China,"64,731",226,"$54,028",-4.9%,"$7,607 ",-7.4%,"$1,262,056"
261,Charter Communications,U.S.,"101,700",259,"$54,022",4.5%,"$5,055 ",8.6%,"$144,523"
262,State Power Investment,China,"123,401",260,"$54,022",4.9%,$744 ,-,"$229,339"
263,Saint-Gobain,France,"155,685",252,"$53,847",3.1%,"$3,158 ",6.0%,"$59,087"
264,Daimler Truck Holding,Germany,"102,888",-,"$53,582",-,"$2,803 ",-,"$68,255"
265,Bayer,Germany,"101,369",254,"$53,365",2.4%,"$4,365 ",269.2%,"$133,244"
266,Tyson Foods,U.S.,"142,000",292,"$53,282",13.2%,"$3,238 ",6.3%,"$36,821"
267,China United Network Communications,China,"244,508",267,"$52,766",3.8%,"$1,085 ",11.0%,"$93,471"
268,Deere,U.S.,"82,239",318,"$52,577",19.4%,"$7,131 ",19.6%,"$90,030"
269,Shaanxi Yanchang Petroleum (Group),China,"129,525",257,"$52,224",0.8%,$870 ,59.4%,"$70,896"
270,Royal Bank of Canada,Canada,"91,427",307,"$52,062",13.2%,"$12,265 ",-3.8%,"$1,405,792"
271,Novartis,Switzerland,"101,703",248,"$51,828",-2.0%,"$6,955 ",-71.0%,"$117,453"
272,China State Shipbuilding,China,"204,497",243,"$51,799",-3.5%,"$2,710 ",3.8%,"$136,965"
273,Banco Bradesco,Brazil,"81,222",439,"$51,587",58.5%,"$4,066 ",-5.4%,"$340,449"
274,Cisco Systems,U.S.,"83,300",274,"$51,557",3.5%,"$11,812 ",11.5%,"$94,002"
275,Nationwide,U.S.,"24,791",289,"$51,450",8.6%,$988 ,-38.9%,"$264,511"
276,Allstate,U.S.,"54,250",246,"$51,412",-3.4%,"-$1,311 ",-182.0%,"$97,957"
277,Cenovus Energy,Canada,"5,998",384,"$51,406",39.0%,"$4,956 ",958.5%,"$41,241"
278,Midea Group,China,"166,243",245,"$51,393",-3.5%,"$4,393 ",-0.8%,"$61,265"
279,Sinomach,China,"125,370",224,"$51,126",-11.0%,-$409 ,-189.2%,"$51,583"
280,Delta Air Lines,U.S.,"95,000",478,"$50,582",69.2%,"$1,318 ",370.7%,"$72,288"
281,LyondellBasell Industries,Netherlands,"19,300",305,"$50,451",9.3%,"$3,882 ",-30.8%,"$36,365"
282,Sumitomo,Japan,"78,221",279,"$50,370",3.0%,"$4,176 ",1.2%,"$76,136"
283,Ansteel Group,China,"163,992",217,"$50,041",-15.8%,$608 ,-46.7%,"$69,740"
284,Liberty Mutual Insurance Group,U.S.,"50,000",285,"$49,956",3.6%,$414 ,-86.5%,"$160,316"
285,TJX,U.S.,"329,000",280,"$49,936",2.9%,"$3,498 ",6.6%,"$28,349"
286,Renault,France,"105,812",237,"$49,924",-8.6%,-$356 ,-133.9%,"$126,246"
287,Progressive,U.S.,"55,063",286,"$49,611",4.0%,$722 ,-78.5%,"$75,465"
288,Edeka Zentrale,Germany,"408,900",256,"$49,481",-4.8%,$416 ,0.3%,"$10,396"
289,Jinchuan Group,China,"28,930",339,"$49,467",20.8%,"$1,113 ",15.3%,"$20,862"
290,Tokio Marine Holdings,Japan,"43,217",253,"$49,119",-5.9%,"$2,781 ",-25.7%,"$208,677"
291,American Airlines Group,U.S.,"129,700",479,"$48,971",63.9%,$127 ,-,"$64,716"
292,Contemporary Amperex Technology,China,"118,914",-,"$48,849",141.7%,"$4,568 ",85.0%,"$87,130"
293,Energi Danmark Group,Denmark,220,-,"$48,717",157.5%,"$1,251 ",-,"$5,044"
294,Toronto-Dominion Bank,Canada,"94,945",366,"$48,700",27.2%,"$13,535 ",19.1%,"$1,406,019"
295,SoftBank Group,Japan,"63,339",234,"$48,542",-12.4%,"-$7,167 ",-,"$330,996"
296,Hanwha,South Korea,"54,918",306,"$48,245",4.5%,"$1,017 ",29.1%,"$167,871"
297,ING Group,Netherlands,"58,232",425,"$48,062",42.0%,"$12,754 ",81.3%,"$1,042,282"
298,CHS,U.S.,"10,014",362,"$47,792",24.3%,"$1,679 ",203.1%,"$18,825"
299,Sanofi,France,"91,573",303,"$47,738",3.1%,"$8,804 ",19.7%,"$135,212"
300,Groupe BPCE,France,"96,936",282,"$47,723",-1.5%,"$4,156 ",-12.2%,"$1,633,720"
301,Raízen,Brazil,"44,738",398,"$47,721",33.1%,$474 ,-19.7%,"$22,001"
302,Vodafone Group,Britain,"98,103",247,"$47,550",-10.2%,"$12,316 ",407.9%,"$169,051"
303,Denso,Japan,"164,572",278,"$47,292",-3.7%,"$2,325 ",-1.1%,"$55,813"
304,Performance Food Group,U.S.,"34,825",468,"$47,194",61.6%,$113 ,176.4%,"$12,378"
305,HD Hyundai,South Korea,"23,316",-,"$47,138",91.6%,"$1,091 ",-,"$52,125"
306,PBF Energy,U.S.,"3,616",-,"$46,830",71.8%,"$2,877 ",1145.4%,"$13,549"
307,Volvo,Sweden,"94,921",323,"$46,828",7.9%,"$3,236 ",-15.3%,"$60,369"
308,Nike,U.S.,"79,100",313,"$46,710",4.9%,"$6,046 ",5.6%,"$40,321"
309,Bouygues,France,"196,154",314,"$46,696",4.9%,"$1,023 ",-23.1%,"$64,655"
310,Zhejiang Communications Investment Group,China,"41,757",302,"$46,617",0.5%,$859 ,-4.3%,"$121,861"
311,Best Buy,U.S.,"71,100",258,"$46,298",-10.6%,"$1,419 ",-42.2%,"$15,803"
312,Bristol-Myers Squibb,U.S.,"34,300",301,"$46,159",-0.5%,"$6,327 ",-9.5%,"$96,820"
313,Susun Construction Group,China,"151,135",299,"$46,138",-0.7%,"$1,357 ",-17.9%,"$32,994"
314,Ingka Group,Netherlands,"177,192",287,"$46,135",-3.0%,$315 ,-83.3%,"$58,116"
315,ZF Friedrichshafen,Germany,"161,901",310,"$46,068",1.7%,$239 ,-69.4%,"$41,553"
316,Swiss Re,Switzerland,"14,408",296,"$45,998",-1.6%,$472 ,-67.2%,"$170,676"
317,EXOR Group,Netherlands,"80,932",293,"$45,977",-2.2%,"$4,446 ",119.0%,"$89,307"
318,Banco Bilbao Vizcaya Argentaria,Spain,"115,675",352,"$45,766",15.0%,"$6,752 ",22.7%,"$760,920"
319,Orange,France,"130,307",271,"$45,721",-9.1%,"$2,257 ",719.3%,"$116,997"
320,Jingye Group,China,"31,000",386,"$45,705",23.9%,$329 ,-63.0%,"$12,587"
321,Sumitomo Mitsui Financial Group,Japan,"111,381",388,"$45,378",24.0%,"$5,954 ",-5.4%,"$2,037,280"
322,GS Caltex,South Korea,"3,322",470,"$45,343",50.2%,"$2,161 ",135.1%,"$20,699"
323,China Huadian,China,"92,857",326,"$45,113",5.3%,"$1,021 ",172.8%,"$148,926"
324,Veolia Environnement,France,"202,210",427,"$45,105",33.8%,$753 ,57.5%,"$78,216"
325,Barclays,Britain,"87,400",374,"$45,023",19.9%,"$7,309 ",-26.0%,"$1,820,526"
326,United Airlines Holdings,U.S.,"92,795",-,"$44,955",82.5%,$737 ,-,"$67,358"
327,Suncor Energy,Canada,"16,558",457,"$44,928",44.0%,"$6,975 ",112.3%,"$62,463"
328,Thermo Fisher Scientific,U.S.,"130,000",355,"$44,915",14.5%,"$6,950 ",-10.0%,"$97,154"
329,China Minsheng Banking,China,"62,615",273,"$44,582",-11.0%,"$5,243 ",-1.6%,"$1,051,974"
330,ThyssenKrupp,Germany,"96,494",344,"$44,502",9.5%,"$1,229 ",-,"$36,671"
331,AstraZeneca,Britain,"83,500",381,"$44,351",18.5%,"$3,288 ",2835.7%,"$96,483"
332,Vale,Brazil,"64,516",231,"$44,287",-20.3%,"$18,788 ",-16.3%,"$86,894"
333,Pegatron,Taiwan,"161,836",311,"$44,273",-2.2%,$507 ,-31.1%,"$20,718"
334,Qualcomm,U.S.,"51,000",429,"$44,200",31.7%,"$12,936 ",43.0%,"$49,014"
335,Woolworths Group,Australia,"197,773",272,"$44,126",-12.1%,"$5,754 ",271.7%,"$22,975"
336,George Weston,Canada,"221,285",319,"$43,838",-0.2%,"$1,396 ",305.9%,"$36,139"
337,Tata Motors,India,"81,811",370,"$43,661",15.5%,$301 ,-,"$40,936"
338,Abbott Laboratories,U.S.,"115,000",325,"$43,653",1.3%,"$6,933 ",-2.0%,"$74,438"
339,KB Financial Group,South Korea,"25,876",382,"$43,622",17.3%,"$3,405 ",-11.6%,"$557,387"
340,SNCF Group,France,"276,271",335,"$43,594",6.1%,"$2,551 ",142.4%,"$141,949"
341,China South Industries Group,China,"156,613",315,"$43,429",-2.1%,"$1,015 ",37.8%,"$59,633"
342,Chubb,Switzerland,"34,000",338,"$43,166",5.4%,"$5,313 ",-37.8%,"$199,144"
343,GSK,Britain,"69,400",294,"$43,035",-8.3%,"$18,439 ",205.8%,"$72,338"
344,Coca-Cola,U.S.,"82,500",359,"$43,004",11.3%,"$9,542 ",-2.3%,"$92,763"
345,Quanta Computer,Taiwan,"67,979",349,"$42,997",6.3%,$972 ,-19.3%,"$26,576"
346,Fresenius,Germany,"282,024",316,"$42,954",-3.2%,"$1,443 ",-32.9%,"$81,535"
347,UBS Group,Switzerland,"72,597",345,"$42,950",5.7%,"$7,630 ",2.3%,"$1,104,364"
348,Jiangsu Shagang Group,China,"45,203",291,"$42,784",-9.1%,$558 ,-75.5%,"$49,903"
349,America Movil,Mexico,"176,014",275,"$42,724",-14.0%,"$3,788 ",-60.1%,"$83,055"
350,Mizuho Financial Group,Japan,"51,258",404,"$42,693",21.0%,"$4,104 ",-13.1%,"$1,915,460"
351,Shanghai Construction Group,China,"51,353",321,"$42,522",-2.4%,$202 ,-65.5%,"$53,182"
352,Oracle,U.S.,"143,000",348,"$42,440",4.8%,"$6,717 ",-51.1%,"$109,297"
353,Rajesh Exports,India,135,437,"$42,306",29.6%,$178 ,31.7%,"$2,786"
354,Deutsche Bank,Germany,"84,930",350,"$42,285",5.2%,"$5,701 ",96.7%,"$1,434,280"
355,Telefónica,Spain,"103,651",300,"$42,063",-9.4%,"$2,115 ",-78.0%,"$116,988"
356,China National Coal Group,China,"147,293",297,"$41,997",-10.0%,"$1,877 ",171.6%,"$70,504"
357,KDDI,Japan,"49,659",281,"$41,902",-13.6%,"$5,005 ",-16.4%,"$89,782"
358,Zurich Insurance Group,Switzerland,"59,498",179,"$41,750",-40.2%,"$4,603 ",-11.5%,"$377,782"
359,Shanxi Coking Coal Group,China,"214,769",431,"$41,662",24.8%,$355 ,-,"$75,193"
360,Xiaomi,China,"32,543",266,"$41,631",-18.2%,$368 ,-87.7%,"$39,655"
361,Nucor,U.S.,"31,400",389,"$41,513",13.8%,"$7,607 ",11.4%,"$32,479"
362,Continental,Germany,"199,038",312,"$41,449",-8.2%,$70 ,-95.9%,"$40,468"
363,New Hope Holding Group,China,"123,933",356,"$41,426",5.8%,$8 ,-97.7%,"$49,488"
364,Kuehne + Nagel International,Switzerland,"75,194",396,"$41,278",15.0%,"$2,770 ",24.6%,"$15,951"
365,Enbridge,Canada,"12,050",375,"$40,964",9.1%,"$2,308 ",-53.3%,"$132,581"
366,TIAA,U.S.,"16,070",347,"$40,911",0.9%,$494 ,-87.8%,"$634,457"
367,RWE,Germany,"18,278",495,"$40,352",39.2%,"$2,858 ",235.2%,"$147,831"
368,China Electronics,China,"184,940",324,"$40,326",-6.5%,-$501 ,-,"$61,129"
369,Massachusetts Mutual Life Insurance,U.S.,"10,662",395,"$40,281",12.2%,"$1,485 ",365.0%,"$381,336"
370,L'Oréal,France,"87,369",367,"$40,241",5.4%,"$6,002 ",10.4%,"$49,983"
371,LG Chem,South Korea,"40,000",369,"$40,241",6.4%,"$1,430 ",-55.4%,"$54,035"
372,Hyundai Mobis,South Korea,"33,125",390,"$40,210",10.3%,"$1,925 ",-6.3%,"$44,045"
373,Zijin Mining Group,China,"48,836",407,"$40,187",15.2%,"$2,979 ",22.6%,"$44,372"
374,Korea Gas,South Korea,"4,254",-,"$40,069",66.6%,"$1,157 ",39.2%,"$49,624"
375,Meiji Yasuda Life Insurance,Japan,"47,385",377,"$40,018",6.7%,$634 ,-60.8%,"$367,499"
376,Olam Group,Singapore,"62,467",406,"$39,836",13.9%,$457 ,-10.7%,"$23,828"
377,S.F. Holding,China,"162,823",441,"$39,765",23.8%,$918 ,38.7%,"$31,439"
378,CPC,Taiwan,"16,682",475,"$39,427",31.3%,"-$6,299 ",-,"$31,702"
379,General Dynamics,U.S.,"106,500",361,"$39,407",2.4%,"$3,390 ",4.1%,"$51,585"
380,Guangzhou Municipal Construction Group,China,"44,825",360,"$39,258",1.6%,$150 ,3.2%,"$28,664"
381,China National Nuclear,China,"181,700",364,"$39,054",1.9%,"$1,281 ",8.0%,"$166,795"
382,JFE Holdings,Japan,"64,241",358,"$38,925",0.2%,"$1,201 ",-53.1%,"$41,616"
383,Intesa Sanpaolo,Italy,"95,574",298,"$38,836",-16.6%,"$4,579 ",-7.5%,"$1,041,054"
384,MS&AD Insurance Group Holdings,Japan,"38,584",309,"$38,796",-15.1%,"$1,193 ",-49.0%,"$188,341"
385,China Taiping Insurance Group,China,"68,386",334,"$38,706",-5.8%,$116 ,-75.5%,"$182,634"
386,Capital One Financial,U.S.,"55,943",443,"$38,373",19.8%,"$7,360 ",-40.6%,"$455,249"
387,HF Sinclair,U.S.,"5,223",-,"$38,205",107.8%,"$2,923 ",423.5%,"$18,126"
388,Phoenix Pharma,Germany,"35,178",394,"$38,045",5.4%,$252 ,21.2%,"$14,784"
389,Shudao Investment Group,China,"48,713",413,"$38,019",10.0%,$646 ,50.8%,"$172,256"
390,J. Sainsbury,Britain,"107,000",342,"$37,910",-7.2%,$249 ,-73.1%,"$32,347"
391,Shenzhen Investment Holdings,China,"103,117",372,"$37,888",0.8%,$907 ,-45.0%,"$153,290"
392,Nutrien,Canada,"24,700",-,"$37,884",36.7%,"$7,660 ",142.9%,"$54,586"
393,Dollar General,U.S.,"170,000",419,"$37,845",10.6%,"$2,416 ",0.7%,"$29,083"
394,Magna International,Canada,"158,000",392,"$37,840",4.4%,$592 ,-60.9%,"$27,789"
395,Jardine Matheson,China,"425,000",397,"$37,724",5.2%,$354 ,-81.2%,"$89,148"
396,China Datang,China,"89,210",411,"$37,606",8.4%,$182 ,-,"$123,159"
397,Ecopetrol,Colombia,"18,903",-,"$37,547",52.9%,"$7,435 ",77.7%,"$62,548"
398,X5 Retail Group,Netherlands,"353,196",477,"$37,494",25.3%,$651 ,12.2%,"$18,224"
399,Power Corp. of Canada,Canada,"37,300",232,"$37,419",-32.6%,"$1,510 ",-36.2%,"$541,559"
400,China Aerospace Science & Industry,China,"141,260",341,"$37,371",-8.5%,"$2,167 ",2.8%,"$75,170"
401,GasTerra,Netherlands,101,-,"$37,338",140.3%,$38 ,-11.0%,"$17,109"
402,Longfor Group Holdings,China,"31,565",412,"$37,249",7.6%,"$3,622 ",-2.1%,"$114,072"
403,La Poste,France,"238,033",340,"$37,224",-9.0%,"$1,265 ",-48.3%,"$824,922"
404,Arrow Electronics,U.S.,"22,300",415,"$37,124",7.7%,"$1,427 ",28.8%,"$21,763"
405,Occidental Petroleum,U.S.,"11,973",-,"$37,095",38.6%,"$13,304 ",473.0%,"$72,609"
406,Caixa Econômica Federal,Brazil,"86,959",-,"$37,066",55.4%,"$1,894 ",-40.0%,"$300,664"
407,Mitsubishi Electric,Japan,"149,655",351,"$36,967",-7.2%,"$1,580 ",-12.8%,"$42,056"
408,Northwestern Mutual,U.S.,"8,323",387,"$36,921",0.5%,$912 ,-6.7%,"$340,390"
409,Travelers,U.S.,"32,175",410,"$36,884",5.9%,"$2,842 ",-22.4%,"$115,717"
410,Shougang Group,China,"91,165",328,"$36,853",-12.4%,$189 ,-10.3%,"$75,225"
411,Hangzhou Iron and Steel Group,China,"11,771",336,"$36,818",-10.2%,$246 ,-29.7%,"$11,939"
412,Xinjiang Zhongtai Group,China,"42,193",434,"$36,762",11.8%,$112 ,133.3%,"$21,604"
413,Northrop Grumman,U.S.,"95,000",399,"$36,602",2.6%,"$4,896 ",-30.1%,"$43,755"
414,Guangzhou Industrial Investment Holdings,China,"88,022",-,"$36,589",29.6%,$234 ,-54.2%,"$42,301"
415,Bank of Nova Scotia,Canada,"90,979",456,"$36,390",16.5%,"$7,701 ",0.6%,"$989,455"
416,Hapag-Lloyd,Germany,"14,248",-,"$36,331",38.0%,"$17,912 ",66.9%,"$41,279"
417,USAA,U.S.,"36,820",379,"$36,297",-3.1%,"-$1,296 ",-139.3%,"$204,005"
418,Daiwa House Industry,Japan,"49,768",354,"$36,261",-8.2%,"$2,278 ",13.6%,"$46,271"
419,Haier Smart Home,China,"109,586",405,"$36,201",2.6%,"$2,187 ",8.0%,"$34,194"
420,Compal Electronics,Taiwan,"73,120",317,"$36,040",-18.5%,$245 ,-45.9%,"$14,767"
421,Schneider Electric,France,"135,000",420,"$35,945",5.2%,"$3,657 ",-3.5%,"$62,279"
422,Finatis,France,"188,864",380,"$35,851",-4.3%,-$155 ,-,"$35,065"
423,ELO Group,France,"166,397",371,"$35,799",-5.0%,$35 ,-91.5%,"$22,010"
424,Naturgy Energy Group,Spain,"7,112",-,"$35,723",31.1%,"$1,734 ",20.8%,"$43,096"
425,Honeywell International,U.S.,"97,000",417,"$35,466",3.1%,"$4,966 ",-10.4%,"$62,275"
426,Guangzhou Pharmaceutical Holdings,China,"35,057",467,"$35,383",16.1%,$311 ,-2.7%,"$11,489"
427,Guangdong Guangxin Holdings,China,"40,613",-,"$35,368",27.2%,$356 ,11.4%,"$18,453"
428,ACS,Spain,"116,702",365,"$35,355",-7.7%,$703 ,-80.5%,"$40,098"
429,Vibra Energia,Brazil,"3,364",-,"$35,155",45.7%,$298 ,-35.7%,"$7,777"
430,Anglo American,Britain,"105,000",331,"$35,118",-15.5%,"$4,514 ",-47.3%,"$67,407"
431,Taikang Insurance Group,China,"59,011",346,"$34,837",-14.2%,"$1,615 ",-57.8%,"$197,971"
432,Shaanxi Construction Engineering Holding,China,"36,715",-,"$34,735",22.5%,$391 ,11.8%,"$56,144"
433,Bank of Montreal,Canada,"46,722",-,"$34,730",33.3%,"$10,513 ",70.5%,"$835,312"
434,CRRC Group,China,"170,184",385,"$34,697",-6.1%,$902 ,1.5%,"$74,224"
435,Coop Group,Switzerland,"82,054",428,"$34,684",3.1%,$589 ,-3.7%,"$23,736"
436,TongLing Nonferrous Metals Group,China,"21,797",400,"$34,590",-2.6%,$5 ,-90.0%,"$14,646"
437,SK Hynix,South Korea,"31,944",373,"$34,567",-8.0%,"$1,727 ",-79.4%,"$82,571"
438,Shanghai Pharmaceuticals Holding,China,"47,877",430,"$34,486",3.1%,$835 ,5.7%,"$28,727"
439,Lufthansa Group,Germany,"93,083",-,"$34,466",73.4%,$832 ,-,"$46,238"
440,Shandong Hi-Speed Group,China,"54,097",458,"$34,455",10.7%,$445 ,-35.1%,"$191,751"
441,Suzuki Motor,Japan,"70,012",449,"$34,292",8.0%,"$1,634 ",14.4%,"$34,486"
442,Mitsubishi Chemical Group,Japan,"68,639",401,"$34,239",-3.3%,$710 ,-55.0%,"$43,498"
443,3M,U.S.,"92,000",402,"$34,229",-3.2%,"$5,777 ",-2.4%,"$46,455"
444,Inditex,Spain,"116,323",438,"$34,119",4.7%,"$4,327 ",13.5%,"$32,556"
445,British American Tobacco,Britain,"52,077",403,"$34,096",-3.5%,"$8,219 ",-12.1%,"$184,670"
446,US Foods Holding,U.S.,"29,000",485,"$34,057",15.5%,$265 ,61.6%,"$12,773"
447,Sompo Holdings,Japan,"49,057",383,"$34,037",-8.3%,$673 ,-66.4%,"$108,937"
448,Magnit,Russia,"361,000",-,"$33,849",34.4%,$402 ,-38.4%,"$18,817"
449,Warner Bros. Discovery,U.S.,"37,500",-,"$33,817",177.4%,"-$7,371 ",-832.7%,"$134,001"
450,Lennar,U.S.,"12,012",-,"$33,671",24.1%,"$4,614 ",4.2%,"$37,984"
451,Shanghai Delong Steel Group,China,"46,403",469,"$33,534",10.5%,$253 ,-67.8%,"$21,003"
452,Poste Italiane,Italy,"121,033",378,"$33,528",-10.6%,"$1,584 ",-15.1%,"$279,155"
453,CK Hutchison Holdings,China,"300,000",393,"$33,523",-7.2%,"$4,684 ",8.7%,"$147,143"
454,Fomento Económico Mexicano,Mexico,"354,309",-,"$33,482",22.0%,"$1,189 ",-15.4%,"$41,002"
455,D.R. Horton,U.S.,"13,237",-,"$33,480",20.5%,"$5,858 ",40.3%,"$30,351"
456,Jabil,U.S.,"250,000",490,"$33,478",14.3%,$996 ,43.1%,"$19,717"
457,Samsung C&T,South Korea,"17,647",474,"$33,436",11.1%,"$1,584 ",10.8%,"$46,887"
458,Cheniere Energy,U.S.,"1,551",-,"$33,428",110.7%,"$1,428 ",-,"$41,266"
459,CRH,Ireland,"75,800",460,"$33,368",7.7%,"$3,847 ",50.0%,"$45,188"
460,Linde,Britain,"65,010",463,"$33,364",8.3%,"$4,147 ",8.4%,"$79,658"
461,DSV,Denmark,"76,283",496,"$33,321",14.9%,"$2,484 ",39.4%,"$22,827"
462,Broadcom,U.S.,"20,000",-,"$33,203",21.0%,"$11,495 ",70.7%,"$73,249"
463,Wistron,Taiwan,"65,000",462,"$33,064",7.1%,$375 ,-,"$14,097"
464,Anhui Conch Group,China,"61,637",353,"$32,991",-16.9%,$871 ,-54.7%,"$43,732"
465,Beijing Jianlong Heavy Industry Group,China,"56,300",363,"$32,878",-14.3%,$229 ,-58.8%,"$25,337"
466,Hunan Iron & Steel Group,China,"35,492",421,"$32,723",-3.9%,"$1,176 ",-7.3%,"$22,772"
467,Meituan,China,"91,932",-,"$32,699",17.7%,-$994 ,-,"$35,446"
468,Lu’an Chemical Group,China,"109,599",422,"$32,596",-4.3%,$88 ,-,"$49,859"
469,Compass Group,Britain,"513,707",-,"$32,564",32.9%,"$1,421 ",190.9%,"$20,870"
470,Aisin,Japan,"116,649",409,"$32,528",-6.7%,$278 ,-78.0%,"$31,157"
471,Canadian Natural Resources,Canada,"10,035",-,"$32,503",35.6%,"$8,404 ",37.5%,"$56,206"
472,SAP,Germany,"111,961",433,"$32,469",-1.4%,"$2,402 ",-61.3%,"$76,994"
473,Starbucks,U.S.,"402,000",492,"$32,250",11.0%,"$3,282 ",-21.9%,"$27,978"
474,Metro,Germany,"86,910",482,"$32,186",8.8%,-$361 ,-,"$12,574"
475,Molina Healthcare,U.S.,"15,000",-,"$31,974",15.1%,$792 ,20.2%,"$12,314"
476,Tongwei Group,China,"42,381",-,"$31,944",90.3%,"$1,637 ",230.3%,"$23,181"
477,Uber Technologies,U.S.,"32,800",-,"$31,877",82.6%,"-$9,141 ",-,"$32,109"
478,New China Life Insurance,China,"32,564",416,"$31,861",-7.6%,"$1,460 ",-37.0%,"$181,964"
479,Luxshare Precision Industry,China,"236,932",-,"$31,817",33.3%,"$1,362 ",24.3%,"$21,514"
480,Philip Morris International,U.S.,"79,800",454,"$31,762",1.1%,"$9,048 ",-0.7%,"$61,681"
481,CJ Corp.,South Korea,"67,361",472,"$31,703",5.2%,$157 ,-34.9%,"$38,348"
482,Medtronic,Ireland,"95,000",473,"$31,686",5.2%,"$5,039 ",39.7%,"$90,981"
483,China National Aviation Fuel Group,China,"13,796",414,"$31,650",-8.3%,$411 ,-4.6%,"$10,472"
484,Netflix,U.S.,"12,800",481,"$31,616",6.5%,"$4,492 ",-12.2%,"$48,595"
485,Migros Group,Switzerland,"70,880",450,"$31,576",-0.3%,$491 ,-32.9%,"$87,312"
486,NRG Energy,U.S.,"6,603",-,"$31,543",16.9%,"$1,221 ",-44.2%,"$29,146"
487,Mondelez International,U.S.,"91,000",498,"$31,496",9.7%,"$2,717 ",-36.8%,"$71,161"
488,Air Liquide,France,"67,109",-,"$31,483",14.1%,"$2,902 ",-4.6%,"$52,836"
489,Danaher,U.S.,"80,000",486,"$31,471",6.9%,"$7,209 ",12.1%,"$84,350"
490,Siemens Energy,Germany,"92,000",423,"$31,367",-7.8%,-$437 ,-,"$50,052"
491,Salesforce,U.S.,"79,390",-,"$31,352",18.3%,$208 ,-85.6%,"$98,849"
492,Paramount Global,U.S.,"27,400",483,"$31,331",5.9%,"$1,104 ",-75.7%,"$58,393"
493,Chengdu Xingcheng Investment Group,China,"39,094",466,"$31,304",2.5%,$186 ,-45.6%,"$157,644"
494,Bridgestone,Japan,"129,260",484,"$31,298",5.8%,"$2,287 ",-36.3%,"$37,612"
495,Guangxi Investment Group,China,"33,856",445,"$31,263",-2.2%,$84 ,6.5%,"$108,649"
496,Samsung Life Insurance,South Korea,"5,224",464,"$31,243",1.9%,"$1,227 ",-4.5%,"$251,332"
497,Sumitomo Life Insurance,Japan,"45,336",442,"$31,218",-2.6%,"$1,033 ",154.4%,"$321,398"
498,CarMax,U.S.,"30,621",432,"$31,126",-6.2%,$485 ,-57.9%,"$26,183"
499,Mitsubishi Heavy Industries,Japan,"76,859",418,"$31,050",-9.6%,$964 ,-4.6%,"$41,245"
500,Xinjiang Guanghui Industry Investment,China,"74,069",453,"$30,922",-1.9%,$159 ,143.1%,"$37,332"
,,,,,,,,,
